"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Session.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Wrapper.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\auth\useLogin.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\auth\useSignup.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\booking\useFetchAddresses.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\history\useFilter.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 8, 61
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\profile\useAddress.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\profile\useDeleteAddress.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\profile\useEditName.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\profile\useFetchUser.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\hooks\profile\useResetPass.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 4, 41
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Avatar.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Chat.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Delete.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Discount.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\DownArrow.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\HourGlass.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Like.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\NoResults.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Password.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Rocket.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
